sku,name,desc,price,promo_price,Category,expression
RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,49.99,Accessories,stand
APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59,59,Accessories,keyboard
APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,59,56.99,Accessories,mouse
APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,35,33,Parts,adapter
APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,35,33,Parts,adapter
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,89,84.99,Accessories,charger
LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,54.99,39.99,Accessories,charger
OWC0007,OWC Data Doubler Optical Bay adapter Macbook / Macbook Pro,Tray SuperDrive replacement hard disk or SSD.,72.99,39.99,Parts,adapter
APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,45,43,Accessories,cable
SEA0039,"Seagate Barracuda 2TB 35 ""SATA hard drive Mac and PC",Internal Hard Drive 2TB Mac and PC (ST2000DM006),89.99,63.99,Parts,hard drive
WAC0045,Wacom Intuos Airbrush stylus 4/5,stylus for pen tablets Cintiq 21UX Intuos 4/5 - 24HD,109.9,99.99,Accessories,airbrush
SEA0044,"Seagate Barracuda 3TB 35 ""SATA hard drive Mac and PC",internal hard drive Mac and PC 3TB (ST3000DM008).,112,84.9,Parts,hard drive
PAC0023,OWC Data Doubler Pack MacBook / MacBook Pro,Pack Replacement Superdrive for SSD / HDD + box Super Slim Superdrive + Tools.,107.99,55.99,Parts,hard drive
OWC0008,OWC Data Doubler Optical Bay Adapter Mac Mini (2009) iMac (2009-11),Tray substitution of superdrive by hard drive 25 inches.,72.99,39.99,Parts,adapter
SEA0049,"Seagate Barracuda 1TB Hard Drive 35 ""SATA for Mac and PC",internal hard drive Mac and PC 1TB (ST1000DM010),59,41.2,Parts,hard drive
PAC1181,"Apple MacBook Pro 133 ""i5 25GHz | 16GB RAM | 1TB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,2159,1769,Mac,macbook
PAC1240,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 525GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,1899,1575.59,Mac,macbook
APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,35,33,Parts,adapter
APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,12,12,Parts,converter
APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,89,87.25,,
APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,89,85,,
